[2026-03-03T20:36:24.805024+00:00] [XRP] WARNING: Kraken Spot = $1.3609 | Coinbase Spot = $1.3583 | Diff = 0.1903%
[2026-03-05T16:13:32.400167+00:00] [SOL] WARNING: Kraken Spot = $88.3400 | Coinbase Spot = $88.0950 | Diff = 0.2773%
[2026-03-05T16:13:32.602737+00:00] [BTC] WARNING: Kraken Spot = $71109.7000 | Coinbase Spot = $70919.1650 | Diff = 0.2679%
[2026-03-05T16:13:34.389252+00:00] [SOL] WARNING: Kraken Spot = $88.3400 | Coinbase Spot = $88.1050 | Diff = 0.2660%
[2026-03-05T16:13:34.464458+00:00] [ETH] WARNING: Kraken Spot = $2067.7000 | Coinbase Spot = $2060.0650 | Diff = 0.3693%
[2026-03-05T16:13:34.491755+00:00] [BTC] WARNING: Kraken Spot = $71099.7000 | Coinbase Spot = $70921.5600 | Diff = 0.2505%
[2026-03-05T16:13:36.326632+00:00] [SOL] WARNING: Kraken Spot = $88.4000 | Coinbase Spot = $88.0950 | Diff = 0.3450%
[2026-03-05T16:13:36.349672+00:00] [BTC] WARNING: Kraken Spot = $71099.8000 | Coinbase Spot = $70921.5600 | Diff = 0.2507%
[2026-03-05T16:13:36.426343+00:00] [ETH] WARNING: Kraken Spot = $2067.7000 | Coinbase Spot = $2060.2400 | Diff = 0.3608%
[2026-03-05T16:13:38.529599+00:00] [BTC] WARNING: Kraken Spot = $71079.5000 | Coinbase Spot = $70921.5600 | Diff = 0.2222%
[2026-03-05T16:13:38.841650+00:00] [SOL] WARNING: Kraken Spot = $88.3700 | Coinbase Spot = $88.2100 | Diff = 0.1811%
[2026-03-05T16:13:38.971058+00:00] [ETH] WARNING: Kraken Spot = $2066.2000 | Coinbase Spot = $2060.2400 | Diff = 0.2885%
[2026-03-05T16:13:40.710631+00:00] [SOL] WARNING: Kraken Spot = $88.3700 | Coinbase Spot = $88.1050 | Diff = 0.2999%
[2026-03-05T16:13:40.843394+00:00] [BTC] WARNING: Kraken Spot = $71090.8000 | Coinbase Spot = $70921.5600 | Diff = 0.2381%
[2026-03-05T16:13:43.212874+00:00] [BTC] WARNING: Kraken Spot = $71090.8000 | Coinbase Spot = $70921.5600 | Diff = 0.2381%
[2026-03-05T16:13:45.179732+00:00] [ETH] WARNING: Kraken Spot = $2066.1400 | Coinbase Spot = $2060.0650 | Diff = 0.2940%
[2026-03-05T16:13:46.963330+00:00] [SOL] WARNING: Kraken Spot = $88.3800 | Coinbase Spot = $88.2100 | Diff = 0.1924%
[2026-03-05T16:13:47.369576+00:00] [XRP] WARNING: Kraken Spot = $1.4031 | Coinbase Spot = $1.3990 | Diff = 0.2858%
[2026-03-05T16:13:49.492607+00:00] [SOL] WARNING: Kraken Spot = $88.3800 | Coinbase Spot = $88.2100 | Diff = 0.1924%
[2026-03-05T16:13:51.199251+00:00] [SOL] WARNING: Kraken Spot = $88.3800 | Coinbase Spot = $88.2100 | Diff = 0.1924%
[2026-03-05T16:14:06.782929+00:00] [XRP] WARNING: Kraken Spot = $1.4010 | Coinbase Spot = $1.4033 | Diff = 0.1606%
[2026-03-05T16:14:07.686344+00:00] [SOL] WARNING: Kraken Spot = $88.2600 | Coinbase Spot = $88.3950 | Diff = 0.1530%
[2026-03-05T16:14:07.824107+00:00] [XRP] WARNING: Kraken Spot = $1.4010 | Coinbase Spot = $1.4033 | Diff = 0.1606%
[2026-03-05T16:14:08.267699+00:00] [SOL] WARNING: Kraken Spot = $88.2600 | Coinbase Spot = $88.3950 | Diff = 0.1530%
[2026-03-05T16:14:10.304009+00:00] [SOL] WARNING: Kraken Spot = $88.1800 | Coinbase Spot = $88.3900 | Diff = 0.2381%
[2026-03-05T16:14:10.961217+00:00] [SOL] WARNING: Kraken Spot = $88.1800 | Coinbase Spot = $88.3900 | Diff = 0.2381%
[2026-03-05T16:14:11.602212+00:00] [SOL] WARNING: Kraken Spot = $88.1800 | Coinbase Spot = $88.3650 | Diff = 0.2098%
[2026-03-05T16:14:14.536010+00:00] [SOL] WARNING: Kraken Spot = $88.1800 | Coinbase Spot = $88.3650 | Diff = 0.2098%
[2026-03-05T16:14:15.339031+00:00] [SOL] WARNING: Kraken Spot = $88.1800 | Coinbase Spot = $88.3650 | Diff = 0.2098%
[2026-03-05T16:14:15.884870+00:00] [SOL] WARNING: Kraken Spot = $88.1800 | Coinbase Spot = $88.3650 | Diff = 0.2098%
[2026-03-05T16:14:19.211997+00:00] [SOL] WARNING: Kraken Spot = $88.1800 | Coinbase Spot = $88.3650 | Diff = 0.2098%
[2026-03-05T16:14:19.830936+00:00] [SOL] WARNING: Kraken Spot = $88.1800 | Coinbase Spot = $88.3650 | Diff = 0.2098%
[2026-03-05T16:14:21.726630+00:00] [XRP] WARNING: Kraken Spot = $1.4006 | Coinbase Spot = $1.4030 | Diff = 0.1735%
[2026-03-05T16:14:25.239738+00:00] [XRP] WARNING: Kraken Spot = $1.4004 | Coinbase Spot = $1.4025 | Diff = 0.1514%
[2026-03-05T17:28:01.399390+00:00] [SOL] WARNING: Kraken Spot = $88.4000 | Coinbase Spot = $88.5650 | Diff = 0.1867%
[2026-03-05T17:28:03.586803+00:00] [SOL] WARNING: Kraken Spot = $88.4000 | Coinbase Spot = $88.5950 | Diff = 0.2206%
[2026-03-05T17:28:05.513787+00:00] [SOL] WARNING: Kraken Spot = $88.4000 | Coinbase Spot = $88.5650 | Diff = 0.1867%
[2026-03-05T17:29:06.964165+00:00] [ETH] WARNING: Kraken Spot = $2070.7400 | Coinbase Spot = $2074.5450 | Diff = 0.1838%
[2026-03-05T17:29:07.882160+00:00] [ETH] WARNING: Kraken Spot = $2070.7400 | Coinbase Spot = $2074.5450 | Diff = 0.1838%
[2026-03-05T17:29:08.560036+00:00] [ETH] WARNING: Kraken Spot = $2070.7400 | Coinbase Spot = $2074.0950 | Diff = 0.1620%
[2026-03-05T17:29:10.620219+00:00] [ETH] WARNING: Kraken Spot = $2070.7400 | Coinbase Spot = $2074.5450 | Diff = 0.1838%
[2026-03-05T17:29:11.293487+00:00] [ETH] WARNING: Kraken Spot = $2070.7400 | Coinbase Spot = $2074.5450 | Diff = 0.1838%
[2026-03-05T17:29:11.859911+00:00] [ETH] WARNING: Kraken Spot = $2070.7400 | Coinbase Spot = $2074.5450 | Diff = 0.1838%
[2026-03-05T17:29:17.871214+00:00] [ETH] WARNING: Kraken Spot = $2070.0200 | Coinbase Spot = $2074.0950 | Diff = 0.1969%
[2026-03-05T17:29:18.609433+00:00] [ETH] WARNING: Kraken Spot = $2070.0200 | Coinbase Spot = $2074.0950 | Diff = 0.1969%
[2026-03-05T17:29:23.655724+00:00] [ETH] WARNING: Kraken Spot = $2070.8500 | Coinbase Spot = $2074.0950 | Diff = 0.1567%
[2026-03-05T17:43:21.869429+00:00] [ETH] WARNING: Kraken Spot = $2067.6600 | Coinbase Spot = $2063.9600 | Diff = 0.1789%
[2026-03-05T17:43:23.962777+00:00] [BTC] WARNING: Kraken Spot = $70932.6000 | Coinbase Spot = $70819.2200 | Diff = 0.1598%
[2026-03-05T17:43:24.136046+00:00] [ETH] WARNING: Kraken Spot = $2069.1200 | Coinbase Spot = $2063.9600 | Diff = 0.2494%
[2026-03-05T17:43:26.060073+00:00] [BTC] WARNING: Kraken Spot = $70932.6000 | Coinbase Spot = $70819.2200 | Diff = 0.1598%
[2026-03-05T17:43:26.098578+00:00] [ETH] WARNING: Kraken Spot = $2069.1200 | Coinbase Spot = $2063.9600 | Diff = 0.2494%
[2026-03-05T17:43:28.257574+00:00] [BTC] WARNING: Kraken Spot = $70932.6000 | Coinbase Spot = $70819.2200 | Diff = 0.1598%
[2026-03-05T17:43:28.278600+00:00] [ETH] WARNING: Kraken Spot = $2069.1200 | Coinbase Spot = $2063.9600 | Diff = 0.2494%
[2026-03-05T17:43:30.289981+00:00] [ETH] WARNING: Kraken Spot = $2069.1200 | Coinbase Spot = $2063.9600 | Diff = 0.2494%
[2026-03-05T17:43:30.350657+00:00] [BTC] WARNING: Kraken Spot = $70936.7000 | Coinbase Spot = $70819.2200 | Diff = 0.1656%
[2026-03-05T17:43:32.063975+00:00] [BTC] WARNING: Kraken Spot = $70965.2000 | Coinbase Spot = $70819.2200 | Diff = 0.2057%
[2026-03-05T17:43:32.497041+00:00] [ETH] WARNING: Kraken Spot = $2069.1200 | Coinbase Spot = $2063.9600 | Diff = 0.2494%
[2026-03-05T17:43:32.705901+00:00] [SOL] WARNING: Kraken Spot = $88.4600 | Coinbase Spot = $88.3200 | Diff = 0.1583%
[2026-03-05T17:43:34.626225+00:00] [ETH] WARNING: Kraken Spot = $2069.1200 | Coinbase Spot = $2063.9600 | Diff = 0.2494%
[2026-03-05T17:43:34.649609+00:00] [SOL] WARNING: Kraken Spot = $88.4600 | Coinbase Spot = $88.3200 | Diff = 0.1583%
[2026-03-05T17:43:35.138151+00:00] [BTC] WARNING: Kraken Spot = $70965.2000 | Coinbase Spot = $70819.2200 | Diff = 0.2057%
[2026-03-05T17:43:37.066107+00:00] [BTC] WARNING: Kraken Spot = $70965.2000 | Coinbase Spot = $70819.2200 | Diff = 0.2057%
[2026-03-05T17:43:37.256406+00:00] [ETH] WARNING: Kraken Spot = $2069.1200 | Coinbase Spot = $2063.9600 | Diff = 0.2494%
[2026-03-05T17:43:39.398151+00:00] [ETH] WARNING: Kraken Spot = $2069.1200 | Coinbase Spot = $2063.9600 | Diff = 0.2494%
[2026-03-05T17:43:39.559379+00:00] [BTC] WARNING: Kraken Spot = $70965.2000 | Coinbase Spot = $70819.2200 | Diff = 0.2057%
[2026-03-05T17:43:41.524935+00:00] [ETH] WARNING: Kraken Spot = $2069.1200 | Coinbase Spot = $2063.9600 | Diff = 0.2494%
[2026-03-05T17:43:41.530988+00:00] [BTC] WARNING: Kraken Spot = $70943.8000 | Coinbase Spot = $70819.2200 | Diff = 0.1756%
[2026-03-05T17:43:43.657742+00:00] [ETH] WARNING: Kraken Spot = $2069.1200 | Coinbase Spot = $2063.9600 | Diff = 0.2494%
[2026-03-05T17:43:44.053108+00:00] [BTC] WARNING: Kraken Spot = $70943.6000 | Coinbase Spot = $70819.2200 | Diff = 0.1753%
[2026-03-05T17:43:45.815021+00:00] [BTC] WARNING: Kraken Spot = $70943.6000 | Coinbase Spot = $70819.2200 | Diff = 0.1753%
[2026-03-05T17:43:46.121141+00:00] [ETH] WARNING: Kraken Spot = $2069.1200 | Coinbase Spot = $2063.9600 | Diff = 0.2494%
[2026-03-05T17:43:48.152128+00:00] [BTC] WARNING: Kraken Spot = $70943.6000 | Coinbase Spot = $70819.2200 | Diff = 0.1753%
[2026-03-05T17:43:48.211753+00:00] [ETH] WARNING: Kraken Spot = $2069.0800 | Coinbase Spot = $2063.9600 | Diff = 0.2475%
[2026-03-05T17:43:50.060528+00:00] [BTC] WARNING: Kraken Spot = $70943.6000 | Coinbase Spot = $70819.2200 | Diff = 0.1753%
[2026-03-05T17:43:50.173240+00:00] [ETH] WARNING: Kraken Spot = $2069.0800 | Coinbase Spot = $2063.9600 | Diff = 0.2475%
[2026-03-05T17:43:52.263444+00:00] [BTC] WARNING: Kraken Spot = $70943.6000 | Coinbase Spot = $70819.2200 | Diff = 0.1753%
[2026-03-05T17:43:52.549962+00:00] [ETH] WARNING: Kraken Spot = $2068.8500 | Coinbase Spot = $2063.9600 | Diff = 0.2364%
[2026-03-05T17:43:54.442661+00:00] [ETH] WARNING: Kraken Spot = $2068.8500 | Coinbase Spot = $2063.9600 | Diff = 0.2364%
[2026-03-05T17:43:54.563879+00:00] [BTC] WARNING: Kraken Spot = $70943.6000 | Coinbase Spot = $70819.2200 | Diff = 0.1753%
[2026-03-05T17:43:57.141408+00:00] [ETH] WARNING: Kraken Spot = $2068.5900 | Coinbase Spot = $2063.9600 | Diff = 0.2238%
[2026-03-05T17:43:57.192637+00:00] [BTC] WARNING: Kraken Spot = $70940.4000 | Coinbase Spot = $70819.2200 | Diff = 0.1708%
[2026-03-05T17:43:57.932751+00:00] [ETH] WARNING: Kraken Spot = $2068.5900 | Coinbase Spot = $2063.9600 | Diff = 0.2238%
[2026-03-05T17:43:58.161682+00:00] [BTC] WARNING: Kraken Spot = $70940.4000 | Coinbase Spot = $70819.2200 | Diff = 0.1708%
[2026-03-05T17:43:58.628380+00:00] [ETH] WARNING: Kraken Spot = $2068.5900 | Coinbase Spot = $2063.9600 | Diff = 0.2238%
[2026-03-05T17:43:58.671041+00:00] [BTC] WARNING: Kraken Spot = $70940.4000 | Coinbase Spot = $70819.2200 | Diff = 0.1708%
[2026-03-05T17:44:00.494491+00:00] [ETH] WARNING: Kraken Spot = $2068.4800 | Coinbase Spot = $2063.9600 | Diff = 0.2185%
[2026-03-05T17:44:00.518584+00:00] [BTC] WARNING: Kraken Spot = $70940.4000 | Coinbase Spot = $70819.2200 | Diff = 0.1708%
[2026-03-05T17:44:01.430834+00:00] [BTC] WARNING: Kraken Spot = $70940.4000 | Coinbase Spot = $70819.2200 | Diff = 0.1708%
[2026-03-05T17:44:01.583843+00:00] [ETH] WARNING: Kraken Spot = $2068.4800 | Coinbase Spot = $2063.9600 | Diff = 0.2185%
[2026-03-05T17:44:02.037367+00:00] [BTC] WARNING: Kraken Spot = $70940.4000 | Coinbase Spot = $70819.2200 | Diff = 0.1708%
[2026-03-05T17:44:02.222053+00:00] [ETH] WARNING: Kraken Spot = $2068.4800 | Coinbase Spot = $2063.9600 | Diff = 0.2185%
[2026-03-05T17:44:04.724454+00:00] [ETH] WARNING: Kraken Spot = $2067.7900 | Coinbase Spot = $2063.9600 | Diff = 0.1852%
[2026-03-05T17:44:05.560136+00:00] [ETH] WARNING: Kraken Spot = $2067.7900 | Coinbase Spot = $2063.9600 | Diff = 0.1852%
[2026-03-05T17:44:06.148315+00:00] [ETH] WARNING: Kraken Spot = $2067.7900 | Coinbase Spot = $2063.9600 | Diff = 0.1852%
[2026-03-05T17:44:08.360236+00:00] [ETH] WARNING: Kraken Spot = $2067.7800 | Coinbase Spot = $2063.9600 | Diff = 0.1847%
[2026-03-05T17:44:09.196301+00:00] [ETH] WARNING: Kraken Spot = $2067.7800 | Coinbase Spot = $2063.9600 | Diff = 0.1847%
[2026-03-05T17:44:10.084298+00:00] [ETH] WARNING: Kraken Spot = $2067.7800 | Coinbase Spot = $2063.9600 | Diff = 0.1847%
[2026-03-05T17:44:12.392300+00:00] [ETH] WARNING: Kraken Spot = $2067.6500 | Coinbase Spot = $2063.9600 | Diff = 0.1785%
[2026-03-05T17:44:13.314240+00:00] [ETH] WARNING: Kraken Spot = $2067.6500 | Coinbase Spot = $2063.9600 | Diff = 0.1785%
[2026-03-05T17:44:13.940051+00:00] [ETH] WARNING: Kraken Spot = $2067.6500 | Coinbase Spot = $2063.9600 | Diff = 0.1785%
[2026-03-05T17:44:16.093594+00:00] [ETH] WARNING: Kraken Spot = $2067.6500 | Coinbase Spot = $2063.9600 | Diff = 0.1785%
[2026-03-05T17:44:16.997360+00:00] [ETH] WARNING: Kraken Spot = $2067.6500 | Coinbase Spot = $2063.9600 | Diff = 0.1785%
[2026-03-05T17:44:17.676851+00:00] [ETH] WARNING: Kraken Spot = $2067.6500 | Coinbase Spot = $2063.9600 | Diff = 0.1785%
[2026-03-05T17:44:19.734204+00:00] [ETH] WARNING: Kraken Spot = $2067.6600 | Coinbase Spot = $2063.9600 | Diff = 0.1789%
[2026-03-05T17:44:20.408482+00:00] [ETH] WARNING: Kraken Spot = $2067.6600 | Coinbase Spot = $2063.9600 | Diff = 0.1789%
[2026-03-05T17:44:20.981188+00:00] [ETH] WARNING: Kraken Spot = $2067.6600 | Coinbase Spot = $2063.9600 | Diff = 0.1789%
[2026-03-05T17:44:23.333674+00:00] [ETH] WARNING: Kraken Spot = $2067.6600 | Coinbase Spot = $2063.9600 | Diff = 0.1789%
[2026-03-05T17:44:24.243040+00:00] [ETH] WARNING: Kraken Spot = $2067.6600 | Coinbase Spot = $2063.9600 | Diff = 0.1789%
[2026-03-05T17:44:24.844183+00:00] [ETH] WARNING: Kraken Spot = $2067.6600 | Coinbase Spot = $2063.9600 | Diff = 0.1789%
[2026-03-05T17:44:27.467753+00:00] [ETH] WARNING: Kraken Spot = $2067.6600 | Coinbase Spot = $2063.9600 | Diff = 0.1789%
[2026-03-05T17:44:28.450133+00:00] [ETH] WARNING: Kraken Spot = $2067.6600 | Coinbase Spot = $2063.9600 | Diff = 0.1789%
[2026-03-05T17:44:29.290435+00:00] [ETH] WARNING: Kraken Spot = $2067.6600 | Coinbase Spot = $2063.9600 | Diff = 0.1789%
[2026-03-05T17:44:31.156509+00:00] [ETH] WARNING: Kraken Spot = $2068.8000 | Coinbase Spot = $2063.9600 | Diff = 0.2340%
[2026-03-05T17:44:31.871742+00:00] [ETH] WARNING: Kraken Spot = $2068.8000 | Coinbase Spot = $2063.9600 | Diff = 0.2340%
[2026-03-05T17:44:32.653586+00:00] [ETH] WARNING: Kraken Spot = $2068.8000 | Coinbase Spot = $2063.9600 | Diff = 0.2340%
[2026-03-05T17:44:34.965474+00:00] [ETH] WARNING: Kraken Spot = $2067.9900 | Coinbase Spot = $2063.9600 | Diff = 0.1949%
[2026-03-05T17:44:35.656816+00:00] [ETH] WARNING: Kraken Spot = $2067.9900 | Coinbase Spot = $2063.9600 | Diff = 0.1949%
[2026-03-05T17:44:36.351177+00:00] [ETH] WARNING: Kraken Spot = $2067.9900 | Coinbase Spot = $2063.9600 | Diff = 0.1949%
[2026-03-05T17:44:39.245553+00:00] [ETH] WARNING: Kraken Spot = $2068.3300 | Coinbase Spot = $2063.9600 | Diff = 0.2113%
[2026-03-05T17:44:40.120735+00:00] [ETH] WARNING: Kraken Spot = $2068.3300 | Coinbase Spot = $2063.9600 | Diff = 0.2113%
[2026-03-05T17:44:40.844284+00:00] [ETH] WARNING: Kraken Spot = $2068.3300 | Coinbase Spot = $2063.9600 | Diff = 0.2113%
[2026-03-05T17:44:43.000547+00:00] [ETH] WARNING: Kraken Spot = $2068.3300 | Coinbase Spot = $2063.9600 | Diff = 0.2113%
[2026-03-05T17:44:43.886197+00:00] [ETH] WARNING: Kraken Spot = $2068.3300 | Coinbase Spot = $2063.9600 | Diff = 0.2113%
[2026-03-05T17:44:44.696813+00:00] [ETH] WARNING: Kraken Spot = $2068.3300 | Coinbase Spot = $2063.9600 | Diff = 0.2113%
[2026-03-05T17:44:46.682226+00:00] [ETH] WARNING: Kraken Spot = $2068.3300 | Coinbase Spot = $2063.9600 | Diff = 0.2113%
[2026-03-05T17:44:47.568488+00:00] [ETH] WARNING: Kraken Spot = $2068.3300 | Coinbase Spot = $2063.9600 | Diff = 0.2113%
[2026-03-05T17:44:48.494121+00:00] [ETH] WARNING: Kraken Spot = $2068.3300 | Coinbase Spot = $2063.9600 | Diff = 0.2113%
[2026-03-05T17:44:50.781968+00:00] [ETH] WARNING: Kraken Spot = $2068.3300 | Coinbase Spot = $2063.9600 | Diff = 0.2113%
[2026-03-05T17:44:51.644524+00:00] [ETH] WARNING: Kraken Spot = $2068.3300 | Coinbase Spot = $2063.9600 | Diff = 0.2113%
[2026-03-05T17:44:52.551551+00:00] [ETH] WARNING: Kraken Spot = $2068.3300 | Coinbase Spot = $2063.9600 | Diff = 0.2113%
[2026-03-05T17:44:54.825181+00:00] [ETH] WARNING: Kraken Spot = $2067.9500 | Coinbase Spot = $2063.9600 | Diff = 0.1929%
[2026-03-05T17:44:55.813470+00:00] [ETH] WARNING: Kraken Spot = $2067.9500 | Coinbase Spot = $2063.9600 | Diff = 0.1929%
[2026-03-05T17:44:56.360132+00:00] [ETH] WARNING: Kraken Spot = $2067.9500 | Coinbase Spot = $2063.9600 | Diff = 0.1929%
[2026-03-05T17:44:58.959316+00:00] [ETH] WARNING: Kraken Spot = $2067.1200 | Coinbase Spot = $2063.9600 | Diff = 0.1529%
[2026-03-05T17:44:59.964851+00:00] [ETH] WARNING: Kraken Spot = $2067.1200 | Coinbase Spot = $2063.9600 | Diff = 0.1529%
[2026-03-05T17:45:00.644763+00:00] [ETH] WARNING: Kraken Spot = $2067.1200 | Coinbase Spot = $2063.9600 | Diff = 0.1529%
[2026-03-05T18:34:26.340770+00:00] [BTC] WARNING: Kraken Spot = $71011.6000 | Coinbase Spot = $70875.5750 | Diff = 0.1916%
[2026-03-05T18:34:26.722601+00:00] [ETH] WARNING: Kraken Spot = $2074.4200 | Coinbase Spot = $2069.5750 | Diff = 0.2336%
[2026-03-05T18:34:27.080850+00:00] [SOL] WARNING: Kraken Spot = $88.6500 | Coinbase Spot = $88.3200 | Diff = 0.3723%
[2026-03-05T18:34:27.869475+00:00] [XRP] WARNING: Kraken Spot = $1.4063 | Coinbase Spot = $1.4036 | Diff = 0.1948%
[2026-03-05T19:13:21.468034+00:00] [ETH] WARNING: Kraken Spot = $2082.4400 | Coinbase Spot = $2078.2550 | Diff = 0.2010%
[2026-03-05T19:13:22.933310+00:00] [ETH] WARNING: Kraken Spot = $2082.4400 | Coinbase Spot = $2078.2550 | Diff = 0.2010%
[2026-03-05T19:13:25.081235+00:00] [ETH] WARNING: Kraken Spot = $2084.9400 | Coinbase Spot = $2078.2550 | Diff = 0.3206%
[2026-03-05T19:13:26.550776+00:00] [ETH] WARNING: Kraken Spot = $2084.9400 | Coinbase Spot = $2078.2550 | Diff = 0.3206%
[2026-03-05T19:13:26.653673+00:00] [SOL] WARNING: Kraken Spot = $89.1900 | Coinbase Spot = $89.0250 | Diff = 0.1850%
[2026-03-05T19:13:28.134217+00:00] [SOL] WARNING: Kraken Spot = $89.1900 | Coinbase Spot = $89.0250 | Diff = 0.1850%
[2026-03-05T19:13:28.166130+00:00] [ETH] WARNING: Kraken Spot = $2085.5200 | Coinbase Spot = $2078.2550 | Diff = 0.3484%
[2026-03-05T19:13:29.729063+00:00] [ETH] WARNING: Kraken Spot = $2085.5200 | Coinbase Spot = $2078.2550 | Diff = 0.3484%
[2026-03-05T19:13:29.967729+00:00] [SOL] WARNING: Kraken Spot = $89.2000 | Coinbase Spot = $89.0250 | Diff = 0.1962%
[2026-03-05T19:13:31.385212+00:00] [SOL] WARNING: Kraken Spot = $89.2000 | Coinbase Spot = $89.0250 | Diff = 0.1962%
[2026-03-05T19:13:31.387686+00:00] [ETH] WARNING: Kraken Spot = $2085.5200 | Coinbase Spot = $2078.2550 | Diff = 0.3484%
[2026-03-05T19:13:33.035066+00:00] [ETH] WARNING: Kraken Spot = $2085.5200 | Coinbase Spot = $2078.2550 | Diff = 0.3484%
[2026-03-05T19:13:33.035458+00:00] [SOL] WARNING: Kraken Spot = $89.1700 | Coinbase Spot = $89.0250 | Diff = 0.1626%
[2026-03-05T19:13:34.649403+00:00] [SOL] WARNING: Kraken Spot = $89.1700 | Coinbase Spot = $89.0250 | Diff = 0.1626%
[2026-03-05T19:13:34.724282+00:00] [ETH] WARNING: Kraken Spot = $2085.5200 | Coinbase Spot = $2078.2550 | Diff = 0.3484%
[2026-03-05T19:13:36.177423+00:00] [ETH] WARNING: Kraken Spot = $2085.5200 | Coinbase Spot = $2078.2550 | Diff = 0.3484%
[2026-03-05T19:13:36.276762+00:00] [SOL] WARNING: Kraken Spot = $89.1700 | Coinbase Spot = $89.0250 | Diff = 0.1626%
[2026-03-06T01:13:01.254049+00:00] [SOL] WARNING: Kraken Spot = $88.7100 | Coinbase Spot = $88.8550 | Diff = 0.1635%
[2026-03-06T01:14:36.520172+00:00] [ETH] WARNING: Kraken Spot = $2073.2200 | Coinbase Spot = $2076.3650 | Diff = 0.1517%
[2026-03-06T01:14:36.756048+00:00] [ETH] WARNING: Kraken Spot = $2073.2200 | Coinbase Spot = $2076.3650 | Diff = 0.1517%
[2026-03-06T01:28:03.948122+00:00] [SOL] WARNING: Kraken Spot = $88.1400 | Coinbase Spot = $88.3600 | Diff = 0.2496%
[2026-03-06T01:28:05.190834+00:00] [SOL] WARNING: Kraken Spot = $88.1400 | Coinbase Spot = $88.3100 | Diff = 0.1929%
[2026-03-06T01:28:07.100665+00:00] [SOL] WARNING: Kraken Spot = $88.1200 | Coinbase Spot = $88.3100 | Diff = 0.2156%
[2026-03-06T01:28:08.599689+00:00] [SOL] WARNING: Kraken Spot = $88.1200 | Coinbase Spot = $88.3100 | Diff = 0.2156%
[2026-03-06T01:28:10.313108+00:00] [SOL] WARNING: Kraken Spot = $88.1200 | Coinbase Spot = $88.3100 | Diff = 0.2156%
[2026-03-06T01:28:11.766101+00:00] [SOL] WARNING: Kraken Spot = $88.1200 | Coinbase Spot = $88.3100 | Diff = 0.2156%
[2026-03-06T01:28:41.601570+00:00] [ETH] WARNING: Kraken Spot = $2066.2800 | Coinbase Spot = $2063.0550 | Diff = 0.1561%
[2026-03-06T01:28:42.029957+00:00] [ETH] WARNING: Kraken Spot = $2066.2800 | Coinbase Spot = $2063.0550 | Diff = 0.1561%
[2026-03-06T01:28:42.856059+00:00] [ETH] WARNING: Kraken Spot = $2066.2800 | Coinbase Spot = $2063.0550 | Diff = 0.1561%
[2026-03-06T01:28:45.816018+00:00] [ETH] WARNING: Kraken Spot = $2066.2800 | Coinbase Spot = $2063.0550 | Diff = 0.1561%
[2026-03-06T01:28:45.960679+00:00] [ETH] WARNING: Kraken Spot = $2066.2800 | Coinbase Spot = $2063.0550 | Diff = 0.1561%
[2026-03-06T07:28:06.087253+00:00] [XRP] WARNING: Kraken Spot = $1.4069 | Coinbase Spot = $1.4048 | Diff = 0.1528%
[2026-03-06T15:00:02.352035+00:00] [XRP] WARNING: Kraken Spot = $1.3560 | Coinbase Spot = $1.3531 | Diff = 0.2212%
[2026-03-06T15:59:08.857238+00:00] [ETH] WARNING: Kraken Spot = $1979.7400 | Coinbase Spot = $1976.3850 | Diff = 0.1695%
[2026-03-06T15:59:09.069303+00:00] [ETH] WARNING: Kraken Spot = $1979.7400 | Coinbase Spot = $1976.3850 | Diff = 0.1695%
[2026-03-06T15:59:10.434763+00:00] [ETH] WARNING: Kraken Spot = $1979.7400 | Coinbase Spot = $1976.4050 | Diff = 0.1685%
[2026-03-06T15:59:10.968027+00:00] [ETH] WARNING: Kraken Spot = $1979.7400 | Coinbase Spot = $1976.4050 | Diff = 0.1685%
[2026-03-06T15:59:11.166025+00:00] [ETH] WARNING: Kraken Spot = $1979.7400 | Coinbase Spot = $1976.4050 | Diff = 0.1685%
[2026-03-06T15:59:12.909476+00:00] [ETH] WARNING: Kraken Spot = $1979.7400 | Coinbase Spot = $1976.4050 | Diff = 0.1685%
[2026-03-06T15:59:13.398658+00:00] [ETH] WARNING: Kraken Spot = $1979.7400 | Coinbase Spot = $1976.4050 | Diff = 0.1685%
[2026-03-06T15:59:13.603083+00:00] [ETH] WARNING: Kraken Spot = $1979.7400 | Coinbase Spot = $1976.4050 | Diff = 0.1685%
[2026-03-06T15:59:15.677396+00:00] [ETH] WARNING: Kraken Spot = $1979.7400 | Coinbase Spot = $1976.4050 | Diff = 0.1685%
[2026-03-06T15:59:16.166701+00:00] [ETH] WARNING: Kraken Spot = $1979.7400 | Coinbase Spot = $1976.4050 | Diff = 0.1685%
[2026-03-06T15:59:16.359211+00:00] [ETH] WARNING: Kraken Spot = $1979.7400 | Coinbase Spot = $1976.4050 | Diff = 0.1685%
[2026-03-06T15:59:17.974607+00:00] [ETH] WARNING: Kraken Spot = $1979.7400 | Coinbase Spot = $1976.4050 | Diff = 0.1685%
[2026-03-06T15:59:20.352795+00:00] [ETH] WARNING: Kraken Spot = $1979.7400 | Coinbase Spot = $1976.4050 | Diff = 0.1685%
[2026-03-06T15:59:20.691212+00:00] [ETH] WARNING: Kraken Spot = $1979.7400 | Coinbase Spot = $1976.4050 | Diff = 0.1685%
